lat,lon,temperature,sio4,po4,no3,o2,DIC,TA,PAR,depth
-89,39,,,,,,,,,5
-89,40,,,,,,,,,5
-89,41,,,,,,,,,5
-89,42,,,,,,,,,5
-89,43,,,,,,,,,5
-89,44,,,,,,,,,5
-89,45,,,,,,,,,5
-89,46,,,,,,,,,5
-89,47,,,,,,,,,5
-89,48,,,,,,,,,5
-89,49,,,,,,,,,5
-89,50,,,,,,,,,5
-89,51,,,,,,,,,5
-89,52,,,,,,,,,5
-89,53,,,,,,,,,5
-89,54,,,,,,,,,5
-89,55,,,,,,,,,5
-89,56,,,,,,,,,5
-89,57,,,,,,,,,5
-89,58,,,,,,,,,5
-89,59,,,,,,,,,5
-89,60,,,,,,,,,5
-89,61,,,,,,,,,5
-89,62,,,,,,,,,5
-89,63,,,,,,,,,5
-89,64,,,,,,,,,5
-89,65,,,,,,,,,5
-89,66,,,,,,,,,5
-89,67,,,,,,,,,5
-89,68,,,,,,,,,5
-89,69,,,,,,,,,5
-89,70,,,,,,,,,5
-89,71,,,,,,,,,5
-89,72,,,,,,,,,5
-89,73,,,,,,,,,5
-89,74,,,,,,,,,5
-89,75,,,,,,,,,5
-89,76,,,,,,,,,5
-89,77,,,,,,,,,5
-89,78,,,,,,,,,5
-89,79,,,,,,,,,5
-89,80,,,,,,,,,5
-89,81,,,,,,,,,5
-89,82,,,,,,,,,5
-89,83,,,,,,,,,5
-89,84,,,,,,,,,5
-89,85,,,,,,,,,5
-89,86,,,,,,,,,5
-89,87,,,,,,,,,5
-89,88,,,,,,,,,5
-89,89,,,,,,,,,5
-89,90,,,,,,,,,5
-89,91,,,,,,,,,5
-89,92,,,,,,,,,5
-89,93,,,,,,,,,5
-89,94,,,,,,,,,5
-89,95,,,,,,,,,5
-89,96,,,,,,,,,5
-89,97,,,,,,,,,5
-89,98,,,,,,,,,5
-89,99,,,,,,,,,5
-89,100,,,,,,,,,5
-89,101,,,,,,,,,5
-89,102,,,,,,,,,5
-89,103,,,,,,,,,5
-89,104,,,,,,,,,5
-89,105,,,,,,,,,5
-89,106,,,,,,,,,5
-89,107,,,,,,,,,5
-89,108,,,,,,,,,5
-89,109,,,,,,,,,5
-89,110,,,,,,,,,5
-89,111,,,,,,,,,5
-89,112,,,,,,,,,5
-89,113,,,,,,,,,5
-89,114,,,,,,,,,5
-89,115,,,,,,,,,5
-89,116,,,,,,,,,5
-89,117,,,,,,,,,5
-89,118,,,,,,,,,5
-89,119,,,,,,,,,5
-89,120,,,,,,,,,5
-89,121,,,,,,,,,5
-89,122,,,,,,,,,5
-89,123,,,,,,,,,5
-89,124,,,,,,,,,5
-89,125,,,,,,,,,5
-89,126,,,,,,,,,5
-89,127,,,,,,,,,5
-89,128,,,,,,,,,5
-89,129,,,,,,,,,5
-89,130,,,,,,,,,5
-89,131,,,,,,,,,5
-89,132,,,,,,,,,5
-89,133,,,,,,,,,5
-89,134,,,,,,,,,5
-89,135,,,,,,,,,5
-89,136,,,,,,,,,5
-89,137,,,,,,,,,5
-89,138,,,,,,,,,5
-89,139,,,,,,,,,5
-89,140,,,,,,,,,5
-89,141,,,,,,,,,5
-89,142,,,,,,,,,5
-89,143,,,,,,,,,5
-89,144,,,,,,,,,5
-89,145,,,,,,,,,5
-89,146,,,,,,,,,5
-89,147,,,,,,,,,5
-89,148,,,,,,,,,5
-89,149,,,,,,,,,5
-89,150,,,,,,,,,5
-89,151,,,,,,,,,5
-89,152,,,,,,,,,5
-89,153,,,,,,,,,5
-89,154,,,,,,,,,5
-89,155,,,,,,,,,5
-89,156,,,,,,,,,5
-89,157,,,,,,,,,5
-89,158,,,,,,,,,5
-89,159,,,,,,,,,5
-89,160,,,,,,,,,5
-89,161,,,,,,,,,5
-89,162,,,,,,,,,5
-89,163,,,,,,,,,5
-89,164,,,,,,,,,5
-89,165,,,,,,,,,5
-89,166,,,,,,,,,5
-89,167,,,,,,,,,5
-89,168,,,,,,,,,5
-89,169,,,,,,,,,5
-89,170,,,,,,,,,5
-89,171,,,,,,,,,5
-89,172,,,,,,,,,5
-89,173,,,,,,,,,5
-89,174,,,,,,,,,5
-89,175,,,,,,,,,5
-89,176,,,,,,,,,5
-89,177,,,,,,,,,5
-89,178,,,,,,,,,5
-89,179,,,,,,,,,5
-88,-180,,,,,,,,,5
-88,-179,,,,,,,,,5
-88,-178,,,,,,,,,5
-88,-177,,,,,,,,,5
-88,-176,,,,,,,,,5
-88,-175,,,,,,,,,5
-88,-174,,,,,,,,,5
-88,-173,,,,,,,,,5
-88,-172,,,,,,,,,5
-88,-171,,,,,,,,,5
-88,-170,,,,,,,,,5
-88,-169,,,,,,,,,5
-88,-168,,,,,,,,,5
-88,-167,,,,,,,,,5
-88,-166,,,,,,,,,5
-88,-165,,,,,,,,,5
-88,-164,,,,,,,,,5
-88,-163,,,,,,,,,5
-88,-162,,,,,,,,,5
-88,-161,,,,,,,,,5
-88,-160,,,,,,,,,5
-88,-159,,,,,,,,,5
-88,-158,,,,,,,,,5
-88,-157,,,,,,,,,5
-88,-156,,,,,,,,,5
-88,-155,,,,,,,,,5
-88,-154,,,,,,,,,5
-88,-153,,,,,,,,,5
-88,-152,,,,,,,,,5
-88,-151,,,,,,,,,5
-88,-150,,,,,,,,,5
-88,-149,,,,,,,,,5
-88,-148,,,,,,,,,5
-88,-147,,,,,,,,,5
-88,-146,,,,,,,,,5
