lat	lon	Emiliania huxleyi	Coccolithus pelagicus	Florisphaera profunda	temperature	si	phosphate	din	irradiance	FID
-49	2	2365			3.475617686	9.9189308966	1.5726161173	21.7650068919	0.101731206	SANT
-49	57	739307			5.8548773867	4.0362959974	1.5513864305	20.4780718032	14.4672440734	SANT
-49	57	167354			5.7130668031	3.8544261457	1.5369806182	21.2342368026	6.4745983041	SANT
-49	57	136525			5.515696269	4.961204735	1.5428708294	22.4640113449	2.8976094539	SANT
-49	57	109476			5.1724442045	6.9464319759	1.8182911511	23.5336868316	1.2967816926	SANT
-49	57	97323			4.0651276531	11.9427449168	1.8053885806	25.5925862088	0.3882463682	SANT
-48	-56	81.702			9.6996315114	1.6517378563	1.0054822527	11.7116250175	14.2512338856	SSTC
-48	-56	49.929			9.0201662745	2.3510248613	1.1215679719	16.7255805555	1.3820706265	SSTC
-48	-56	48.42			8.1553774232	3.7362019179	1.20984644	17.6353615028	0.8229008652	SSTC
-48	64	11280			6.4887247644	4.3936861401	1.3369830872	20.9278710683	12.7431544916	SANT
-48	174	40947			11.6520203866	1.2928328768	0.5040981886	9.2071744439	46.3700408936	NEWZ
-47	-57	166.43			6.3413442151	4.1324703591	1.2855028294	17.2208983349	39.0450325012	SSTC
-47	-57	113.475			6.0120117191	5.4486247723	1.3035730161	16.400234235	3.775253658	SSTC
-47	-57				5.9357566377	6.0138133096	1.326068873	17.0804279318	2.7039613061	SSTC
-47	-4	62500			6.8004811503	5.1791238882	1.1972505471	20.1253330237	16.1259588965	SANT
-47	57	138260			7.9514001939	2.6396215775	1.4164941259	15.1715053032	16.8736728966	SANT
-47	173	71839			12.3284584102	1.5083044188	0.5334047453	7.8334782511	48.2775230408	NEWZ
-46	-49	18850			13.6674453158	1.4254414465	0.4499674661	3.9782544496	22.946330939	SANT
-46	2	125142			6.9206494303	6.755646473	1.3042973814	19.4485545859	22.2681980929	SANT
-46	2	134104			6.8686372709	4.878585731	1.2850052404	17.5508504658	11.4518952262	SANT
-46	2	432740			6.8135764658	4.3827802572	1.2901199448	17.5348833386	3.0287396699	SANT
-46	2	186104			6.7769323002	4.5424662943	1.3123091757	17.7655299994	0.8010258395	SANT
-46	2	2619			6.262262009	4.872440918	1.3457073248	18.8312450711	0.0560293631	SANT
-46	57	361515			9.3318578244	1.7575663292	1.3109232945	12.1116540092	13.1008777023	SANT
