Gephyrocapsa huxleyi HET,lat,lon
8771.0,-24,108
397.0,-24,108
318.0,-24,108
1510.0,-23,-37
4539.0,-23,-37
7565.0,-23,-37
7565.0,-23,-37
3782.5,-23,-37
998.0,-22,-26
1682.0,-22,-26
1434.0,-22,-26
149.0,-22,-26
162.0,-22,-26
4620.0,-22,-23
4740.0,-22,-23
6430.0,-22,-23
10780.0,-22,-23
1650.0,-22,-23
250.0,-22,-23
181858.0,-22,0
75294.0,-22,0
65326.0,-22,0
2960.0,-22,0
8073.0,-22,4
1091.0,-22,4
39338.0,-22,12
1002.0,-22,108
1529.0,-22,108
2515.0,-22,108
4632.0,-22,108
95.0,-22,108
5295.5,-21,-35
3782.5,-21,-35
2050.0,-21,-24
2010.0,-21,-24
60.0,-21,-24
1148.0,-21,109
1218.0,-21,109
2200.0,-21,109
334.0,-21,109
392.0,-21,110
338.0,-21,110
3855.0,-21,110
5764.0,-21,110
442.0,-21,110
1830.0,-20,-81
1510.0,-20,-36
3030.0,-20,-36
12860.0,-20,-36
1510.0,-20,-36
448.0,-20,-18
1691.0,-20,-18
760.0,-20,-18
810.0,-20,-18
370.0,-20,110
696.0,-20,110
761.0,-20,110
36779.0,-20,110
1530.0,-20,110
231.0,-20,110
90.0,-20,110
708.0,-20,167
1510.0,-19,-36
1510.0,-19,-36
6052.0,-19,-36
1510.0,-19,-36
9078.0,-19,-36
1510.0,-19,-36
750.0,-19,-35
2370.0,-19,-26
19669.0,-19,12
446.0,-19,110
96.0,-19,110
2624.0,-19,110
4997.0,-19,147
5330.0,-18,-80
13267.0,-18,-77
1201.0,-18,-74
2230.0,-18,-26
12104.0,-18,11
172.0,-18,110
3089.0,-18,110
5359.0,-18,110
11772.0,-18,149
293.0,-17,-151
5722.0,-17,-79
27467.5,-17,-74
3026.0,-17,-33
6052.0,-17,-33
45.0,-17,110
202.0,-17,110
529.0,-17,110
800.0,-17,110
162.0,-17,110
814.0,-17,113
146.0,-17,113
5345.5,-17,146
5131.0,-17,146
498.0,-17,150
338.0,-16,-152
120.0,-16,-34
3030.0,-16,-34
40.0,-16,-34
18160.0,-16,-34
1541.0,-16,-26
572.0,-16,-26
190.0,-16,-26
655.0,-16,-26
250.0,-16,-26
184.0,-16,110
394.0,-16,110
1345.0,-16,110
453.0,-16,110
922.0,-16,152
1608.0,-16,153
35.0,-15,-153
1500.0,-15,-34
3030.0,-15,-34
750.0,-15,-33
1510.0,-15,-33
470.0,-15,-26
1770.0,-15,-26
1740.0,-15,-26
260.0,-15,-26
299.0,-15,114
1666.0,-15,145
610.0,-15,147
466.0,-15,154
853.0,-14,-162
165.0,-14,-153
5148.0,-14,-101
437.5,-14,110
132.0,-14,110
147.0,-14,110
2185.0,-14,110
990.0,-14,110
519.0,-14,110
594.0,-14,110
150.0,-14,110
168.0,-14,110
995.0,-14,114
571.0,-14,114
139.0,-14,114
592.0,-14,114
1197.0,-14,153
96.0,-13,-154
1265.0,-13,-137
750.0,-13,-31
1510.0,-13,-31
949.0,-13,-26
769.0,-13,-26
1380.0,-13,-26
100.0,-13,-26
256.0,-13,-16
125.0,-13,-16
1537.0,-13,-16
416.0,-13,111
532.0,-13,111
2520.0,-13,111
792.0,-13,111
293.0,-13,112
78.0,-13,114
824.0,-13,114
7881.0,-13,114
273.0,-13,114
2248.0,-13,146
632.0,-13,150
595.0,-12,-155
20860.0,-12,-107
6296.0,-12,-96
9080.0,-12,-32
1510.0,-12,-32
3260.0,-12,-26
7292.0,-12,148
1614.0,-12,150
130.0,-11,-155
292.0,-11,-135
1500.0,-11,-32
3030.0,-11,-32
1510.0,-11,-31
2060.0,-11,-26
2270.0,-11,-26
250.0,-11,-26
3170.0,-11,141
60.5,-10,-156
5196.0,-10,-114
127.5,-9,-156
1658.0,-9,-111
43077.0,-9,-88
4539.0,-9,-30
3026.0,-9,-30
141.0,-9,-15
887.0,-9,-15
5261.0,-9,-15
238.0,-9,-15
730.0,-8,-156
1510.0,-8,-30
6050.0,-8,-30
1510.0,-8,-30
437.5,-7,-156
3632.0,-7,-123
475.0,-7,-83
1375.0,-7,-82
6052.0,-7,-30
265.0,-7,-26
3870.0,-7,-26
8790.0,-7,-26
360.0,-7,-26
695.0,-7,153
510.0,-6,-156
4227.0,-6,-116
2000.0,-6,-83
2175.0,-6,-82
2269.5,-6,-30
83.0,-6,160
1265.0,-5,-155
69596.0,-5,-118
59665.0,-5,-87
27.0,-5,176
33.0,-5,178
1781.6666666666667,-4,-155
35161.0,-4,-123
18160.0,-4,-29
39.0,-4,160
185.0,-4,175
50.0,-4,178
7600.0,-3,-156
7395.0,-3,-155
11345.5,-3,-28
10591.0,-3,-28
2269.5,-3,-28
31773.0,-3,-28
120.0,-3,-28
3640.0,-3,-26
1464.0,-3,160
70.0,-3,177
5830.0,-2,-156
224691.0,-2,-86
9467.0,-2,-25
10078.7,-2,-25
15923.3,-2,-25
29186.1,-2,-25
12425.4,-2,-25
21674.4,-2,-25
7836.7,-2,-25
1495.0,-2,-25
1307.9,-2,-25
110.0,-2,176
160.0,-2,177
1092.0,-2,178
6045.0,-1,-156
6050.0,-1,-27
6050.0,-1,-27
32529.5,-1,-26
3631.0,-1,-26
7262.0,-1,-26
4624.0,-1,-26
35622.333333333336,-1,-26
30260.0,-1,-26
4146.0,-1,-26
18145.0,-1,-25
